seller_id,seller_name,category,months_active,current_fulfilment,monthly_orders,aov_gbp,monthly_gmv_gbp,gross_margin,sku_count,seller_rating,avg_parcel_weight_kg,avg_parcel_volume_l,late_dispatch_rate_pct,cancellation_rate_pct,avg_delivery_days,return_rate_pct,eligible,fbt_fit_score,score_pain,score_scale,score_headroom,est_current_cost_per_order_gbp,est_fbt_cost_per_order_gbp,est_monthly_fulfilment_saving_gbp,projected_volume_uplift_pct,projected_monthly_gmv_gain_gbp,priority,rank
S0001,Nimbus & Co,Health Foods,20,Self-fulfilled,1664,20.63,34328.32,0.307,14,3.88,2.72,3.37,6.78,6.37,4.0,2.76,True,55.0,51.8,54.0,28.5,5.5,3.96,2562.56,19.5,6694.02,Warm,87
S0002,Loom Naturals,Household & Cleaning,3,3PL,295,9.33,2752.35,0.259,100,4.04,12.22,24.99,9.97,4.65,3.09,8.78,True,44.3,47.5,29.0,19.8,6.79,4.89,560.5,18.3,503.68,Watch,159
S0003,Kova Wellness,Personal Care,21,3PL,2760,21.12,58291.2,0.555,8,4.46,1.98,5.11,10.48,5.33,2.71,4.63,True,65.2,48.7,61.4,73.6,4.54,3.27,3505.2,18.6,10842.16,Warm,24
S0004,Orla Nutrition,Supplements & Vitamins,25,Self-fulfilled,1319,19.31,25469.89,0.632,23,4.2,0.55,1.37,16.08,3.15,3.27,7.15,True,67.3,56.0,50.7,87.6,5.02,3.61,1859.79,20.8,5297.74,Warm,18
S0005,Brisk Provisions,Beverages,5,3PL,624,20.78,12966.72,0.271,94,4.01,8.55,21.21,6.32,2.32,2.39,5.49,True,41.3,28.4,39.8,22.0,5.98,4.31,1042.08,12.5,1620.84,Watch,171
S0006,Bramble Drinks,Supplements & Vitamins,30,FBT-already,602,44.92,27041.84,0.577,14,4.58,1.32,1.87,0.73,1.8,1.72,4.08,True,0,11.5,39.3,77.6,3.59,2.58,608.02,7.4,2001.1,Low,
S0007,Marlow Wellness,Household & Cleaning,19,FBT-already,2144,12.44,26671.36,0.268,85,4.04,13.14,29.05,2.24,2.44,1.91,5.06,True,0,17.8,57.7,21.5,6.19,4.46,3709.12,9.3,2480.44,Low,
S0008,Grove Supply,Beverages,43,3PL,349,10.26,3580.74,0.333,70,4.79,7.99,10.84,5.31,5.93,3.74,2.92,True,47.1,45.9,31.4,33.3,5.86,4.22,572.36,17.8,637.37,Watch,143
S0009,Selkie Foods,Snacks & Confectionery,8,3PL,778,15.58,12121.24,0.469,24,3.94,3.09,5.54,3.72,3.7,3.55,2.61,True,51.4,34.1,43.0,58.0,4.78,3.44,1042.52,14.2,1721.22,Warm,119
S0010,Dusk Craft,Supplements & Vitamins,44,Self-fulfilled,2263,21.69,49084.47,0.466,5,4.36,0.5,0.75,4.35,6.23,2.96,8.24,True,58.2,40.6,58.5,57.5,5.01,3.61,3168.2,16.2,7951.68,Warm,63
S0011,Kova Wellness,Supplements & Vitamins,18,Self-fulfilled,700,36.42,25494.0,0.671,76,4.21,1.22,2.84,6.62,2.23,3.62,4.39,True,58.8,35.5,41.5,94.7,5.17,3.72,1015.0,14.7,3747.62,Warm,56
S0012,Bramble & Co,Personal Care,46,3PL,934,24.29,22686.86,0.576,16,3.92,0.64,1.17,5.93,2.39,2.4,8.39,True,54.0,27.9,45.7,77.5,4.24,3.05,1111.46,12.4,2813.17,Warm,95
S0013,Marram Provisions,Personal Care,38,Self-fulfilled,1225,9.31,11404.75,0.421,99,4.7,0.58,1.09,7.06,4.51,2.39,4.03,True,52.8,37.2,49.6,49.3,5.03,3.62,1727.25,15.2,1733.52,Warm,106
S0014,Loom Collective,Personal Care,32,Self-fulfilled,2267,25.45,57695.15,0.546,65,3.8,0.88,2.25,14.0,5.57,4.67,1.46,True,70.6,67.6,58.5,72.0,5.09,3.66,3241.81,24.3,14019.92,Hot,10
S0015,Reef Wellness,Household & Cleaning,36,Self-fulfilled,221,14.1,3116.1,0.262,18,4.82,4.9,6.15,4.56,6.43,4.07,3.53,True,43.3,47.8,24.8,20.4,5.98,4.31,369.07,18.3,570.25,Watch,162
S0016,Fenn Craft,Supplements & Vitamins,48,Self-fulfilled,484,34.01,16460.84,0.564,99,4.82,0.21,0.43,13.7,2.25,3.97,5.05,True,59.1,52.0,36.2,75.3,4.95,3.56,672.76,19.6,3226.32,Warm,50
S0017,Hale Collective,Snacks & Confectionery,7,FBT-already,578,17.84,10311.52,0.421,81,4.88,2.88,5.59,2.1,1.52,2.12,1.83,True,0,15.6,38.7,49.3,3.93,2.83,635.8,8.7,897.1,Low,
S0018,Loom Foods,Snacks & Confectionery,9,3PL,350,9.74,3409.0,0.349,90,4.42,1.14,2.15,11.01,5.23,2.02,4.39,True,47.6,45.6,31.5,36.2,4.35,3.13,427.0,17.7,603.39,Watch,140
S0019,Pure & Co,Supplements & Vitamins,24,3PL,979,36.98,36203.42,0.588,57,4.33,0.35,0.88,8.76,1.75,1.89,3.95,True,54.9,28.7,46.4,79.6,4.18,3.01,1145.43,12.6,4561.63,Warm,89
S0020,Vale Kitchen,Household & Cleaning,11,Self-fulfilled,368,14.0,5152.0,0.284,74,4.75,3.73,5.28,20.67,7.98,5.42,7.49,True,62.2,93.4,32.2,24.4,5.72,4.12,588.8,30,1545.6,Warm,36
S0021,Bright Labs,Personal Care,24,3PL,486,24.44,11877.84,0.455,23,4.62,0.45,1.09,10.52,2.11,3.76,4.68,True,52.3,43.9,36.2,55.5,4.2,3.02,573.48,17.2,2042.99,Warm,110
S0022,Marram Provisions,Supplements & Vitamins,17,Self-fulfilled,1108,22.64,25085.12,0.467,101,3.96,1.03,1.81,21.64,5.52,5.3,1.92,True,71.3,86.6,48.2,57.6,5.13,3.69,1595.52,30.0,7525.54,Hot,7
S0023,Orla Drinks,Supplements & Vitamins,19,Self-fulfilled,923,38.38,35424.74,0.559,68,3.75,1.37,2.01,3.84,4.77,3.92,7.45,True,57.5,40.0,45.5,74.4,5.2,3.74,1347.58,16.0,5667.96,Warm,68
S0024,Bramble Home,Health Foods,45,Self-fulfilled,92,26.57,2444.44,0.437,87,4.7,3.71,6.01,8.88,4.56,3.53,3.37,True,45.7,47.4,12.1,52.2,5.72,4.12,147.2,18.2,444.89,Watch,151
S0025,Fenn Kitchen,Snacks & Confectionery,45,FBT-already,948,14.12,13385.76,0.28,39,3.87,2.81,5.76,1.17,1.27,1.81,5.09,True,0,11.1,45.9,23.6,3.92,2.82,1042.8,7.3,977.16,Low,
S0026,Orla Craft,Health Foods,8,Self-fulfilled,1428,11.68,16679.04,0.509,33,4.47,1.43,2.11,3.46,3.34,3.77,7.8,True,55.4,33.6,51.8,65.3,5.21,3.75,2084.88,14.1,2351.74,Warm,85
S0027,Marlow Kitchen,Beverages,43,3PL,1270,13.6,17272.0,0.204,91,3.61,9.51,12.83,5.96,1.88,4.1,5.14,True,44.5,35.7,50.1,9.8,6.19,4.46,2197.1,14.7,2538.98,Watch,157
S0028,Piper Botanics,Beverages,10,Self-fulfilled,2980,21.83,65053.4,0.275,99,4.76,8.13,15.5,18.78,5.61,5.16,6.95,True,66.4,80.2,62.5,22.7,6.69,4.82,5572.6,28.1,18280.01,Warm,19
